idVendeur,C_vendeur_idx
V_Angers_1,C_V_Angers_1_1
V_Angers_1,C_V_Angers_1_2
V_Angers_1,C_V_Angers_1_3
V_Angers_1,C_V_Angers_1_4
V_Angers_1,C_V_Angers_1_5
V_Angers_1,C_V_Angers_1_6
V_Angers_1,C_V_Angers_1_7
V_Angers_1,C_V_Angers_1_8
V_Angers_1,C_V_Angers_1_9
V_Angers_1,C_V_Angers_1_10
V_Angers_1,C_V_Angers_1_11
V_Angers_1,C_V_Angers_1_12
V_Angers_1,C_V_Angers_1_13
V_Angers_1,C_V_Angers_1_14
V_Angers_1,C_V_Angers_1_15
V_Angers_2,C_V_Angers_2_1
V_Angers_2,C_V_Angers_2_2
V_Angers_2,C_V_Angers_2_3
V_Angers_2,C_V_Angers_2_4
V_Angers_2,C_V_Angers_2_5
V_Angers_2,C_V_Angers_2_6
V_Angers_2,C_V_Angers_2_7
V_Angers_2,C_V_Angers_2_8
V_Angers_2,C_V_Angers_2_9
V_Angers_2,C_V_Angers_2_10
V_Angers_2,C_V_Angers_2_11
V_Angers_2,C_V_Angers_2_12
V_Angers_2,C_V_Angers_2_13
V_Angers_2,C_V_Angers_2_14
V_Angers_2,C_V_Angers_2_15
V_Angers_2,C_V_Angers_2_16
V_Angers_2,C_V_Angers_2_17
V_Angers_2,C_V_Angers_2_18
V_Angers_2,C_V_Angers_2_19
V_Angers_2,C_V_Angers_2_20
V_Angers_3,C_V_Angers_3_1
V_Angers_3,C_V_Angers_3_2
V_Angers_3,C_V_Angers_3_3
V_Angers_3,C_V_Angers_3_4
V_Angers_3,C_V_Angers_3_5
V_Angers_1,C_V_Angers_1_1
V_Angers_1,C_V_Angers_1_2
V_Angers_1,C_V_Angers_1_3
V_Angers_1,C_V_Angers_1_4
V_Angers_1,C_V_Angers_1_5
V_Angers_1,C_V_Angers_1_6
V_Angers_1,C_V_Angers_1_7
V_Angers_1,C_V_Angers_1_8
V_Angers_1,C_V_Angers_1_9
V_Angers_1,C_V_Angers_1_10
V_Angers_1,C_V_Angers_1_11
V_Angers_1,C_V_Angers_1_12
V_Angers_1,C_V_Angers_1_13
V_Angers_1,C_V_Angers_1_14
V_Angers_1,C_V_Angers_1_15
V_Angers_1,C_V_Angers_1_16
V_Angers_1,C_V_Angers_1_17
V_Angers_1,C_V_Angers_1_18
V_Angers_1,C_V_Angers_1_19
V_Angers_1,C_V_Angers_1_20
V_Angers_2,C_V_Angers_2_1
V_Angers_2,C_V_Angers_2_2
V_Angers_2,C_V_Angers_2_3
V_Angers_2,C_V_Angers_2_4
V_Angers_2,C_V_Angers_2_5
V_Angers_2,C_V_Angers_2_6
V_Angers_2,C_V_Angers_2_7
V_Angers_2,C_V_Angers_2_8
V_Angers_2,C_V_Angers_2_9
V_Angers_2,C_V_Angers_2_10
V_Angers_2,C_V_Angers_2_11
V_Angers_2,C_V_Angers_2_12
V_Angers_2,C_V_Angers_2_13
V_Angers_2,C_V_Angers_2_14
V_Angers_2,C_V_Angers_2_15
V_Angers_2,C_V_Angers_2_16
V_Angers_2,C_V_Angers_2_17
V_Angers_2,C_V_Angers_2_18
V_Angers_2,C_V_Angers_2_19
V_Angers_2,C_V_Angers_2_20
V_Angers_2,C_V_Angers_2_21
V_Angers_2,C_V_Angers_2_22
V_Angers_2,C_V_Angers_2_23
V_Angers_2,C_V_Angers_2_24
V_Angers_2,C_V_Angers_2_25
V_Angers_2,C_V_Angers_2_26
V_Angers_2,C_V_Angers_2_27
V_Angers_2,C_V_Angers_2_28
V_Angers_2,C_V_Angers_2_29
V_Angers_2,C_V_Angers_2_30
V_Angers_2,C_V_Angers_2_31
V_Angers_2,C_V_Angers_2_32
V_Angers_2,C_V_Angers_2_33
V_Angers_2,C_V_Angers_2_34
V_Angers_2,C_V_Angers_2_35
V_Angers_2,C_V_Angers_2_36
V_Angers_2,C_V_Angers_2_37
V_Angers_2,C_V_Angers_2_38
V_Angers_2,C_V_Angers_2_39
V_Angers_2,C_V_Angers_2_40
V_Angers_2,C_V_Angers_2_41
V_Angers_2,C_V_Angers_2_42
V_Angers_2,C_V_Angers_2_43
V_Angers_2,C_V_Angers_2_44
V_Angers_3,C_V_Angers_3_1
V_Angers_3,C_V_Angers_3_2
V_Angers_3,C_V_Angers_3_3
V_Angers_3,C_V_Angers_3_4
V_Angers_3,C_V_Angers_3_5
V_Angers_3,C_V_Angers_3_6
V_Angers_3,C_V_Angers_3_7
V_Angers_3,C_V_Angers_3_8
V_Angers_3,C_V_Angers_3_9
V_Angers_3,C_V_Angers_3_10
V_Angers_3,C_V_Angers_3_11
V_Angers_3,C_V_Angers_3_12
V_Angers_3,C_V_Angers_3_13
V_Angers_3,C_V_Angers_3_14
V_Angers_3,C_V_Angers_3_15
V_Angers_3,C_V_Angers_3_16
V_Angers_3,C_V_Angers_3_17
V_Angers_3,C_V_Angers_3_18
V_Angers_3,C_V_Angers_3_19
V_Angers_3,C_V_Angers_3_20
V_Angers_3,C_V_Angers_3_21
V_Angers_3,C_V_Angers_3_22
V_Angers_4,C_V_Angers_4_1
V_Angers_4,C_V_Angers_4_2
V_Angers_4,C_V_Angers_4_3
V_Angers_4,C_V_Angers_4_4
V_Angers_4,C_V_Angers_4_5
V_Angers_4,C_V_Angers_4_6
V_Angers_4,C_V_Angers_4_7
V_Angers_4,C_V_Angers_4_8
V_Angers_4,C_V_Angers_4_9
V_Angers_4,C_V_Angers_4_10
V_Angers_4,C_V_Angers_4_11
V_Angers_4,C_V_Angers_4_12
V_Angers_4,C_V_Angers_4_13
V_Angers_4,C_V_Angers_4_14
V_Angers_4,C_V_Angers_4_15
V_Angers_4,C_V_Angers_4_16
V_Angers_4,C_V_Angers_4_17
V_Angers_4,C_V_Angers_4_18
V_Angers_4,C_V_Angers_4_19
V_Angers_4,C_V_Angers_4_20
V_Angers_4,C_V_Angers_4_21
V_Angers_4,C_V_Angers_4_22
V_Angers_4,C_V_Angers_4_23
V_Angers_4,C_V_Angers_4_24
V_Angers_4,C_V_Angers_4_25
V_Angers_4,C_V_Angers_4_26
V_Angers_4,C_V_Angers_4_27
V_Angers_4,C_V_Angers_4_28
V_Angers_4,C_V_Angers_4_29
V_Angers_4,C_V_Angers_4_30
V_Angers_4,C_V_Angers_4_31
V_Angers_4,C_V_Angers_4_32
V_Angers_4,C_V_Angers_4_33
V_Angers_4,C_V_Angers_4_34
V_Angers_4,C_V_Angers_4_35
V_Angers_1,C_V_Angers_1_1
V_Angers_1,C_V_Angers_1_2
V_Angers_1,C_V_Angers_1_3
V_Angers_1,C_V_Angers_1_4
V_Angers_1,C_V_Angers_1_5
V_Angers_1,C_V_Angers_1_6
V_Angers_1,C_V_Angers_1_7
V_Angers_1,C_V_Angers_1_8
V_Angers_1,C_V_Angers_1_9
V_Angers_1,C_V_Angers_1_10
V_Angers_1,C_V_Angers_1_11
V_Angers_1,C_V_Angers_1_12
V_Angers_1,C_V_Angers_1_13
V_Angers_1,C_V_Angers_1_14
V_Angers_1,C_V_Angers_1_15
V_Angers_1,C_V_Angers_1_16
V_Angers_1,C_V_Angers_1_17
V_Angers_1,C_V_Angers_1_18
V_Angers_1,C_V_Angers_1_19
V_Angers_1,C_V_Angers_1_20
V_Angers_1,C_V_Angers_1_21
V_Angers_1,C_V_Angers_1_22
V_Angers_1,C_V_Angers_1_23
V_Angers_1,C_V_Angers_1_24
V_Angers_1,C_V_Angers_1_25
V_Angers_1,C_V_Angers_1_26
V_Angers_2,C_V_Angers_2_1
V_Angers_2,C_V_Angers_2_2
V_Angers_2,C_V_Angers_2_3
V_Angers_2,C_V_Angers_2_4
V_Angers_3,C_V_Angers_3_1
V_Angers_3,C_V_Angers_3_2
V_Angers_3,C_V_Angers_3_3
V_Angers_3,C_V_Angers_3_4
V_Angers_3,C_V_Angers_3_5
V_Angers_3,C_V_Angers_3_6
V_Angers_3,C_V_Angers_3_7
V_Angers_3,C_V_Angers_3_8
V_Angers_3,C_V_Angers_3_9
V_Angers_3,C_V_Angers_3_10
V_Angers_3,C_V_Angers_3_11
V_Angers_3,C_V_Angers_3_12
V_Angers_3,C_V_Angers_3_13
V_Angers_3,C_V_Angers_3_14
V_Angers_3,C_V_Angers_3_15
V_Angers_3,C_V_Angers_3_16
V_Angers_4,C_V_Angers_4_1
V_Angers_4,C_V_Angers_4_2
V_Angers_4,C_V_Angers_4_3
